file,contract,status,error,current_slots,recommended_slots,saved_slots,current_wasted,recommended_wasted,saved_wasted,strategy,imports_removed,functions_removed,modifiers_removed,types_replaced,structs_total,structs_improved,struct_saved_slots
real/openzeppelin/contracts/governance/extensions/GovernorCountingFractional.sol,GovernorCountingFractional,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),3,7,0,0,1,0,0
real/openzeppelin/contracts/governance/extensions/GovernorCountingOverridable.sol,GovernorCountingOverridable,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),5,11,0,0,2,0,0
real/openzeppelin/contracts/governance/extensions/GovernorCountingSimple.sol,GovernorCountingSimple,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),1,6,0,0,1,0,0
real/openzeppelin/contracts/governance/extensions/GovernorCrosschain.sol,GovernorCrosschain,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),3,2,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorNoncesKeyed.sol,GovernorNoncesKeyed,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),4,3,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorPreventLateQuorum.sol,GovernorPreventLateQuorum,OK,,2,2,0,26,26,0,DP-bitmask (optim absolut),2,6,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorProposalGuardian.sol,GovernorProposalGuardian,OK,,1,1,0,12,12,0,DP-bitmask (optim absolut),1,4,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorSequentialProposalId.sol,GovernorSequentialProposalId,OK,,2,2,0,0,0,0,DP-bitmask (optim absolut),1,4,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorSettings.sol,GovernorSettings,OK,,2,2,0,22,22,0,DP-bitmask (optim absolut),1,10,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorStorage.sol,GovernorStorage,OK,,2,2,0,0,0,0,DP-bitmask (optim absolut),1,7,0,0,1,0,0
real/openzeppelin/contracts/governance/extensions/GovernorSuperQuorum.sol,GovernorSuperQuorum,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,3,0,0,0,0,0
